content,read,time,class_label
明天想跌没门，券商今天休息为的是明天托盘,378,2021/1/2 14:58,Negative
【盘前必读：指数预判】上证指数借着元旦降准的利好强,250,2021/1/3 9:38,Neutral
A缺口必补，一直这样,295,2021/1/3 9:41,Negative
高开低走，滚！[大笑],323,2021/1/3 10:03,Negative
看看我发的帖子，是不是这回事,1083,2021/1/3 10:17,Neutral
山煤国际卖早了，换了洁美科技，做个短线,279,2021/1/3 10:22,Neutral
拉石油了，行情到顶了,552,2021/1/3 10:30,Negative
今天账户跌了，大盘拉不出了,283,2021/1/3 10:34,Negative
看看城地股份吧，高手分一下下,310,2021/1/3 10:36,Neutral
割了割了,264,2021/1/3 10:43,Negative
昨天猛涨迎接黑色星期五,234,2021/1/3 10:45,Negative
茅台这棵大树倒了，牛市的启动！[鼓掌]同意的点赞今天,336,2021/1/3 10:45,Positive
2020年股指波动范围2600点至3600点。,699,2021/1/3 10:46,Neutral
开始大跌,246,2021/1/3 10:48,Negative
国家跳水运动员,257,2021/1/3 10:50,Negative
这降准的8000多亿就这样消化完了，就一日行情？,240,2021/1/3 10:52,Neutral
春风又绿江南岸，哈哈，早上追金进来的舒服吧！,227,2021/1/3 10:54,Negative
降准肯定利好房地产，地产股都干啥呢？[想一下][想一,206,2021/1/3 10:55,Neutral
心里嘱咐自己千万遍，忍住。管好自己的手。,231,2021/1/3 10:56,Negative
昨天大盘153060分钟顶背离，日线没有，调整是意大利的,227,2021/1/3 10:56,Negative
拜拜，祝各位发大财,222,2021/1/3 11:00,Positive
稳住，今天上3100，明天3200,240,2021/1/3 11:02,Positive
下午要暴跌！,305,2021/1/3 11:12,Negative
别装了该大跌了。。。,277,2021/1/3 11:13,Negative
对于2020年的牛股，尤其是黑马牛股，天檀在这里跟大家,522,2021/1/3 11:25,Neutral
大盘在等啥呢？,296,2021/1/3 11:27,Neutral
今天还是暴跌吧,268,2021/1/3 11:29,Negative
三图，大趋势不变!,964,2021/1/3 13:14,Neutral
坐等补缺口[胜利][胜利][胜利]再进,290,2021/1/3 13:15,Negative
石油拉升准没好事,317,2021/1/3 13:16,Neutral
涨一点就回调！一步三回头！太垃圾了！,328,2021/1/3 13:20,Negative
神预感，看图，注意时间,531,2021/1/3 13:22,Neutral
牛市来了，大跌大买啊[大笑],343,2021/1/3 13:24,Positive
投资，始于技术，终于人品！善因善果，好人好报，如是,341,2021/1/3 13:29,Neutral
支付宝我的200积分啊，快砸啊,426,2021/1/3 13:42,Negative
大盘没有什么好说的，就是买了之后拿住，现在长期趋势,430,2021/1/3 13:58,Positive
别装了,300,2021/1/3 14:06,Negative
快跌啊,249,2021/1/3 14:11,Negative
看谁跑得快？！时间不多了！加油,294,2021/1/3 14:19,Negative
苏州固锝和科达股份现在准备进入尾盘扫货抢盘模式。,678,2021/1/3 14:21,Positive
这牛市起点有点高,361,2021/1/3 14:21,Positive
牛市启动了吗？怎么天天涨？,291,2021/1/3 14:25,Positive
真的服了。,237,2021/1/3 14:29,Neutral
握草，向下俯冲来了！[大笑],266,2021/1/3 14:39,Negative
马上开始飞流直下三千尺,296,2021/1/3 14:40,Negative
今晚老美应该会大跌,271,2021/1/3 14:40,Negative
一月份巨量垃圾股份上市解禁，市场不能承受只有下跌一,277,2021/1/3 14:45,Negative
补缺后会阴跌,276,2021/1/6 9:33,Negative
中石油4.5是世纪大底,322,2021/1/6 9:36,Positive
中国威武,254,2021/1/6 9:40,Positive
空仓吧，等过完年再说。,335,2021/1/6 9:42,Negative
谁说我中国股市不行？牛！！！,284,2021/1/6 9:44,Positive
复盘来看自2858反弹以来趋势并没变坏，观察短线是要回,276,2021/1/6 9:52,Neutral
下午跳水,382,2021/1/6 9:57,Negative
回光返照结束，下跌开始表演！,225,2021/1/6 10:02,Negative
冲鸭，直接整到8千点,240,2021/1/6 10:06,Negative
这个大盘，与欧美的就是不一样，它又红了。不过，我不,510,2021/1/6 10:07,Positive
外围大空的情况上，如何能够独善其身，反弹力度有限。,303,2021/1/6 10:12,Neutral
再冲一下[大笑],227,2021/1/6 10:15,Neutral
10.83汉鼎入,207,2021/1/6 10:16,Neutral
0,212,2021/1/6 10:16,Neutral
拉到一定位置了开始振荡。,283,2021/1/6 10:17,Neutral
早上追进去的估计要吃一大碗面了,273,2021/1/6 10:23,Negative
拉高出货，下午大幅跳水，跑跑跑,277,2021/1/6 10:24,Negative
这是我的小账号，刚开通没多久，说实话，还是有点小运,324,2021/1/6 10:24,Neutral
都涨到哪里去了[哭],342,2021/1/6 10:26,Positive
头部形成,261,2021/1/6 10:30,Negative
两桶油,225,2021/1/6 10:39,Neutral
顶背离了,302,2021/1/6 10:41,Negative
目前国际形势这么差，主要指数和国家普遍大跌，今天如,453,2021/1/6 10:43,Negative
我知道你尽力了[大笑][大笑][大笑],265,2021/1/6 10:48,Neutral
幅度大了闪着腰,239,2021/1/6 10:57,Neutral
短期内风险大于机会,443,2021/1/6 11:12,Negative
机构把钱放在茅台里是管理者不愿的事，但又不好明示；,385,2021/1/6 11:19,Neutral
指数牛逼,223,2021/1/6 11:28,Positive
涨得猛，掉得快！缺钱了使劲涨，套出钱使劲跌！,274,2021/1/6 13:22,Negative
指数上去了，还在你买直上，你赚到钱了吗,352,2021/1/6 13:29,Positive
个股还没涨嘿嘿嘿,229,2021/1/6 13:34,Neutral
天书靠谱不。。。[傲],413,2021/1/6 13:34,Neutral
跳水套人,257,2021/1/6 13:34,Negative
行情太火爆了，需要降温,244,2021/1/6 13:35,Negative
今年最高点已到，速度向下！,297,2021/1/6 13:35,Negative
我们无论遇到什么踏空，都不要惊慌，微笑的面对它，消,303,2021/1/6 13:35,Negative
补缺口啦,242,2021/1/6 13:36,Negative
高处不胜寒,200,2021/1/6 13:53,Negative
支持银行.电力等超低价等好股，千变万化离不开金梭银,321,2021/1/6 13:53,Neutral
玩得这么六吗,354,2021/1/6 13:54,Neutral
神奇二点半[想一下][想一下][想一下][想一下][想一下],361,2021/1/6 14:01,Neutral
诱多吃大面,220,2021/1/6 14:07,Negative
会套多少人,220,2021/1/6 14:08,Negative
听到隆隆的收割机启动了。,226,2021/1/6 14:09,Negative
什么几把情况,224,2021/1/6 14:10,Neutral
我的200蚂蚁积分[哭][哭][哭][哭],221,2021/1/6 14:11,Neutral
短期大盘已经见顶了。,253,2021/1/6 14:12,Negative
生拉硬拽,239,2021/1/6 14:13,Neutral
跳水如期而至，年前行情结束了，接下来应该是大回撤，,215,2021/1/6 14:13,Negative
无耻，上午不配合，下午才跌[滴汗][滴汗],252,2021/1/6 14:13,Negative
见顶了,220,2021/1/6 14:14,Negative
[围观][围观][围观][围观]跳水运动员上场…[护城河][,246,2021/1/6 14:14,Negative
清仓过年，保持好心情。,190,2021/1/6 14:15,Negative
跌的没完没了了。不信这个邪,222,2021/1/6 14:16,Negative
漂亮，看你高台跳水,205,2021/1/6 14:17,Negative
"年底杀猪宰羊,割韭菜",226,2021/1/6 14:17,Negative
没有一点点防备你就这样出血,210,2021/1/6 14:19,Negative
割韭菜的操作！这就是股票,219,2021/1/6 14:20,Negative
3100点上车还没扶好你就加速了。。。。。方向没选好啊,279,2021/1/6 14:20,Positive
已在牛市里！不论涨跌都改变不了上升趋势！！！,757,2021/1/6 14:25,Positive
大盘跟期指走？,242,2021/1/6 14:26,Neutral
一地鸡毛，,264,2021/1/6 14:29,Negative
早上都说牛市来了,240,2021/1/6 14:31,Positive
这洗盘很到位！,240,2021/1/6 14:35,Positive
什么情况，杀下来吸筹码？现在又拉起来,262,2021/1/6 14:48,Positive
争取尾盘翻红[鼓掌],427,2021/1/6 14:49,Positive
妙,212,2021/1/6 14:55,Negative
今天有石油权重护盘了,252,2021/1/6 14:59,Neutral
大盘3100压力大，跑了，你们玩,270,2021/1/7 9:39,Negative
指数涨了，主力资金在流出，呵呵！,264,2021/1/7 9:40,Negative
全仓了，彪啊，6125[大笑],190,2021/1/7 9:41,Positive
600382压盘太明显了，庄家在吸货,356,2021/1/7 9:45,Positive
煤飞色舞，要谢幕了！,355,2021/1/7 9:50,Neutral
今天说一下我一个很好的朋友是如何炒股的，2019年底，,2020,2021/1/7 10:11,Neutral
今天大市行情高开振动拉高行情，煤炭板块，文化板块，,355,2021/1/7 10:24,Negative
今天买的等屎吧,245,2021/1/7 10:40,Negative
拉钢铁了，你们懂我意思吧,251,2021/1/7 10:46,Neutral
快跌吧，跌到3000点我接盘,246,2021/1/7 10:49,Negative
恶炒区块链想套谁？,402,2021/1/7 10:54,Negative
k线是骗你们的！！马上暴涨！！,302,2021/1/7 10:59,Positive
跳水一下个股上不去了,278,2021/1/7 11:03,Negative
盘久必跌,270,2021/1/7 13:14,Negative
今天上3100,294,2021/1/7 13:20,Positive
垃圾股满天飞又到了好撤的时候了。,279,2021/1/7 13:28,Negative
“唱吧”网络直播正宗概念股！,354,2021/1/7 13:32,Neutral
千金难买牛回头，回调就是买入机会,267,2021/1/7 13:33,Positive
引导套的人略微损失杀出来交筹码，然后接盘的垫高。继,252,2021/1/7 13:34,Negative
大A起航了，航母来了快上抢位了,279,2021/1/7 13:42,Positive
一个3100怎么就这么难，有钱人呢，买进啊！要是我是有,267,2021/1/7 13:50,Positive
看来年内能涨到3200大家放心拿着,311,2021/1/7 13:52,Positive
大盘调整吧，别撑了,253,2021/1/7 13:58,Negative
机构，主力砸盘开始。,270,2021/1/7 14:04,Negative
今天绝对要大跳水，大家别追,249,2021/1/7 14:13,Negative
一个3000点攻了一年，3100点又要多久才能拿下，只想到,338,2021/1/7 14:13,Neutral
国家级跳水运动员,218,2021/1/7 14:14,Negative
今天不跳水吗,208,2021/1/7 14:24,Negative
三千一百点啊，何时冲过去？,255,2021/1/7 14:27,Neutral
需要清仓吗？各位大佬？,259,2021/1/7 14:33,Negative
尾盘下三千一,251,2021/1/7 14:42,Negative
明后天会收中阳线,286,2021/1/7 14:43,Positive
明后两天看银行,262,2021/1/7 14:57,Neutral
转发,255,2021/1/8 9:33,Neutral
2020股海大方向,272,2021/1/8 9:38,Neutral
002627节前最优股，即将爆拉,246,2021/1/8 9:41,Positive
抓住牛尾巴，别掉队,256,2021/1/8 9:41,Negative
指数受外围影响低开下杀是一次绝佳的机会，顺势满仓，,526,2021/1/8 9:42,Positive
小康牛已启动,292,2021/1/8 9:48,Positive
逢高减仓逢高减仓，大盘今天开始补缺，不要被割,322,2021/1/8 9:51,Negative
漂亮,236,2021/1/8 9:51,Neutral
老乡们，牛来了。,241,2021/1/8 9:52,Positive
6咦咦咦,247,2021/1/8 9:55,Neutral
大盘又靠区块链和农业上位呵呵,252,2021/1/8 10:00,Neutral
超图软件,311,2021/1/8 10:02,Neutral
暴跌模式已开启,240,2021/1/8 10:15,Negative
看谁跑得快！,219,2021/1/8 10:16,Negative
主力正式撤退。,246,2021/1/8 10:17,Negative
今天不会直接把缺口补了吧,263,2021/1/8 10:18,Negative
回踩3040,267,2021/1/8 10:24,Negative
恕我直言，大盘还得跳水,232,2021/1/8 10:26,Negative
证券可以起来拉了,233,2021/1/8 10:32,Positive
行情结束,267,2021/1/8 10:40,Negative
涨了这么多天也该调整了，回踩确认支撑以后才能走的更,335,2021/1/8 10:50,Negative
谁告诉你高了都别听，5浪必出新高了。历史的啊啊啊,418,2021/1/8 11:02,Positive
稀土开始异动了，军工崛起,394,2021/1/8 11:03,Neutral
股市最强音：大北农、山煤国际、宇信科技！,375,2021/1/8 11:19,Neutral
一定会回调，不是今天就是明天,388,2021/1/8 11:30,Negative
上证涨得慢，跌得快。,283,2021/1/8 13:02,Negative
这几天赚的，全部吐出来。[赞][赞][赞],328,2021/1/8 13:04,Negative
茶姐今天最后一遍提醒逢高减仓,373,2021/1/8 13:08,Negative
加爱！稳！富足.丰盛.圆满,285,2021/1/8 13:17,Positive
能这样砸盘，除了某某队，谁能做到,228,2021/1/8 13:23,Negative
快点跑！！！！,284,2021/1/8 13:29,Negative
还没有涨了一点点呢，就跌开了，太没有出息了,294,2021/1/8 13:38,Negative
完了完了,282,2021/1/8 13:40,Negative
这是哪个坏种主力使劲砸盘，没人管了吗,323,2021/1/8 13:45,Negative
大盘是回踩确认一下吗？,257,2021/1/8 13:50,Negative
开始剥皮抽筋了,252,2021/1/8 13:54,Negative
马上干活,240,2021/1/8 13:55,Neutral
一鼓作气，补完3050,238,2021/1/8 13:56,Negative
别犹豫，猛跌，一天补了缺口继续上[亏大了],224,2021/1/8 13:57,Negative
[献花][献花][献花][献花],224,2021/1/8 14:00,Neutral
一夜回到解放前。,268,2021/1/8 14:00,Negative
促进储蓄资金进场。,542,2021/1/8 14:02,Positive
今天一步到位就好,203,2021/1/8 14:05,Neutral
大家买券商吧！调整到位了！老板,253,2021/1/8 14:05,Positive
期待两点半跳水,216,2021/1/8 14:09,Negative
别光喝酒吃菜,221,2021/1/8 14:19,Neutral
不要慌，中东战事就要结束了。明日见分晓！,272,2021/1/8 14:20,Neutral
散户拼了命在跑怪不得是韭菜,276,2021/1/8 14:23,Negative
多放支撑3050～3030～3100多空争夺～整理后向3150～32,239,2021/1/8 14:24,Neutral
救命啊,208,2021/1/8 14:24,Negative
再砸一下就不掉缺口了e,237,2021/1/8 14:24,Negative
券商银行该出场护盘了,248,2021/1/8 14:25,Positive
又特么的让沪股通的抄底了。15分钟流入4个多亿。国内,284,2021/1/8 14:27,Positive
真是宾服了,243,2021/1/8 14:28,Neutral
明天星期四,207,2021/1/8 14:30,Neutral
跳水、断头,238,2021/1/8 14:31,Negative
小心明天阳包阴,244,2021/1/8 14:33,Positive
买买买！,265,2021/1/8 14:35,Positive
中国股市需要堂堂正正的正能量,282,2021/1/8 14:48,Neutral
点评；受外部因素影响，开始回调，回调后会再度强攻！,684,2021/1/8 14:50,Negative
等待已久的时刻,327,2021/1/8 14:57,Neutral
都在清仓准备过年了吗？,234,2021/1/8 15:00,Negative
高开低走[大笑]尿性,316,2021/1/9 9:34,Negative
君子不立危墙之下,7570,2021/1/9 9:49,Negative
医疗板块,307,2021/1/9 9:55,Neutral
苏垦农发，业绩最好的农业股，净利润几个亿，就是没有,398,2021/1/9 9:57,Neutral
一次又一次，一批又一批，来到山顶，山上的朋友你们好,327,2021/1/9 10:02,Negative
上午进去的，下去就等着收尸吧,237,2021/1/9 10:03,Negative
行情不会再等你，给你机会了，你不把握，你就活该喝西,264,2021/1/9 10:11,Neutral
它来了，它来了。高开低走的模样,246,2021/1/9 10:12,Negative
看看股指期货的走势 就知道接下来 该发生什么了,298,2021/1/9 10:23,Neutral
油气概念股异动,604,2021/1/9 10:24,Neutral
早上已经说了趋势越来越明朗[赞][赞][赞]猪力昨天干的,975,2021/1/9 10:24,Neutral
需要补涨,377,2021/1/9 10:27,Positive
外资到底进了多少。。。国内主力到底出了多少？这是什,577,2021/1/9 10:29,Neutral
走势脉络,385,2021/1/9 10:29,Neutral
撑不住了，大盘摇摇欲坠了,319,2021/1/9 10:32,Negative
电子计算机走一波,274,2021/1/9 10:36,Neutral
哈哈跳水开始,237,2021/1/9 10:39,Negative
别诱多了，跳吧，国家队现在真会玩，看看日线macd，能,281,2021/1/9 10:40,Negative
今天在暴买什么东西,270,2021/1/9 10:44,Positive
大A老毛病又发了：高开低走！,249,2021/1/9 10:48,Negative
日经225指数涨幅扩大，现涨逾2%。,442,2021/1/9 10:48,Positive
高开低走，下午危险啊,335,2021/1/9 11:14,Negative
装_｀,289,2021/1/9 11:24,Neutral
滚,295,2021/1/9 11:24,Neutral
何年能解套？答案只有一个字，熬!,297,2021/1/9 11:30,Negative
骗继续骗,328,2021/1/9 13:39,Negative
感觉交易所守株待兔？,314,2021/1/9 13:44,Neutral
庄不勇敢，自然无人跟风，交易清淡,319,2021/1/9 13:47,Neutral
今日稳住，明天拉抬！[微笑],349,2021/1/9 13:47,Positive
专家：外围局势还会持续一段时间，黄金、黄金股等避险,344,2021/1/9 14:00,Neutral
无量上涨，后续不看好了,230,2021/1/9 14:09,Negative
不过年了？,292,2021/1/9 14:09,Neutral
感觉不好，可见坚持是对的，急于求成就是给自己挖坑。,415,2021/1/9 14:17,Negative
踏空的不少啊,275,2021/1/9 14:19,Positive
当前只能买底部区域卖头部区域,280,2021/1/9 14:22,Negative
走得好艰难,255,2021/1/9 14:31,Neutral
习惯了，前几天到顶接盘，昨天下杀割肉，今天大盘爆炸,409,2021/1/9 14:33,Negative
不让买，哈哈哈。,261,2021/1/9 14:35,Negative
都说了下午两点半一起拉，上证主力你们都没钱了吗？给,321,2021/1/9 14:44,Neutral
多头今天又胜利了呀,295,2021/1/9 14:48,Positive
空仓了，空仓了，你们可以使劲的涨了。,351,2021/1/9 14:51,Negative
明天大概率还是震荡，如果明天震荡小，涨幅小，那么下,478,2021/1/9 14:58,Neutral
有钱先用吧，不要过年前被套！,250,2021/1/13 9:43,Negative
转发,255,2021/1/13 9:46,Neutral
看来年前要跌一跌了,249,2021/1/13 9:47,Negative
没看懂啊老吊们，我是长线投资。,265,2021/1/13 9:49,Neutral
赶紧卖，北上资金直接清仓吧。,273,2021/1/13 9:50,Negative
别急3/1仓玩现在排雷时期[想一下],240,2021/1/13 10:02,Negative
别墨迹下来吧,243,2021/1/13 10:06,Negative
过年了，给大家免费发套了,271,2021/1/13 10:14,Negative
寒冬腊月来了，煤炭行业会有波行情吗？,667,2021/1/13 10:15,Neutral
12元已成铁底，买买买！[加油]国家大力发展数字经济，,577,2021/1/13 10:28,Positive
今年与往年不同的是外资准入将全面开放，外资抄底倒计,309,2021/1/13 10:29,Positive
各路股神头头是道的分析分享大盘上涨,222,2021/1/13 10:39,Positive
过往10年数据显示，新年前两周股市有80%的概率为正涨,419,2021/1/13 10:45,Positive
今天大盘不行啊。,268,2021/1/13 10:45,Neutral
请庄家自觉一点，不然没机会拉了,267,2021/1/13 10:57,Neutral
靠翻红了，我的个股起不来，跌时跑赢大盘，涨时从没赢,265,2021/1/13 11:01,Positive
人民网要拉涨停下午,272,2021/1/13 11:27,Positive
买什么股，什么股就像死股一样,352,2021/1/13 13:18,Negative
大盘准备开始了哈！今天3100只要站稳，启动就要开始了,733,2021/1/13 13:22,Positive
冲到3100就跳水，太不争气了！！！！！！！,266,2021/1/13 13:24,Negative
603318派思股份速速买入,321,2021/1/13 13:36,Positive
量这么小，不会去碰二十日线吧,231,2021/1/13 13:38,Neutral
说实话，大盘很好，但很多人已经怕了。,610,2021/1/13 13:43,Negative
券商股不动大盘就这样了！,361,2021/1/13 13:52,Neutral
又要起飞的节奏了,306,2021/1/13 13:55,Positive
三千一，三千一，三千一，收三千一，只收三千一，只能,221,2021/1/13 13:56,Neutral
量价背离了，明天开始分化,320,2021/1/13 14:00,Neutral
其实所有的概念归根结底 只有一个概念 就是庄家拉台概,309,2021/1/13 14:01,Neutral
无往而不胜的大盘！,222,2021/1/13 14:08,Neutral
两点半快到了，大家都知道的！,270,2021/1/13 14:12,Neutral
同样的剧本每天冲高回落,262,2021/1/13 14:15,Negative
第三个缺口必补3051 明天最少跌倒！,624,2021/1/13 14:17,Negative
还持股过年？券商又在砸盘了。,247,2021/1/13 14:17,Negative
今天站稳3100，明天上攻,268,2021/1/13 14:22,Positive
买的股就不涨，已卖马上就涨，每天至少6000亿的成交量,281,2021/1/13 14:28,Neutral
田亮来了,252,2021/1/13 14:29,Neutral
散户们跟不跟[微笑][微笑][微笑],259,2021/1/13 14:35,Neutral
券商飞起来,210,2021/1/13 14:40,Positive
我呆了[哭],290,2021/1/13 14:41,Neutral
无量,249,2021/1/13 14:47,Negative
又是顶背离,375,2021/1/13 14:56,Negative
高开低走,304,2021/1/14 9:43,Negative
高开低走，这算利好出尽？,277,2021/1/14 9:47,Negative
上不去回压3109,335,2021/1/14 9:47,Neutral
要绿的！！！！,267,2021/1/14 9:47,Negative
哎呦喂继续表演哈拉不动鸟么,477,2021/1/14 10:02,Neutral
回补3115,260,2021/1/14 10:04,Negative
这么拉指数的？,250,2021/1/14 10:08,Positive
又阳痿了,239,2021/1/14 10:09,Neutral
真有意思,284,2021/1/14 10:11,Neutral
能源环保股或将大涨,786,2021/1/14 10:32,Positive
过年了，没心情玩，也没闲钱玩，开心过年，不想影响过,294,2021/1/14 10:43,Neutral
快快！牛市！小散赶紧进,348,2021/1/14 10:50,Positive
拉银行是最后一招。,281,2021/1/14 10:54,Neutral
感觉所谓贸易利好已经不重要了，都知道好也是兑现逃跑,321,2021/1/14 11:03,Negative
转发,306,2021/1/14 11:11,Neutral
下午两点,338,2021/1/14 11:16,Neutral
看不得新能源大涨，50跳水压盘,269,2021/1/14 11:23,Negative
昨天好多人唱多，牛市来了，今天怎么牛就走了啊，哎,270,2021/1/14 11:29,Positive
第一目标回补缺口,268,2021/1/14 13:12,Negative
大A真真的大回调开始了,273,2021/1/14 13:12,Negative
谁在偷偷进场,351,2021/1/14 13:15,Negative
转发,260,2021/1/14 13:28,Neutral
本月大盘难有表现。,318,2021/1/14 13:29,Neutral
大盘没有，也不会有问题，强势震荡，非常正常！,365,2021/1/14 13:29,Neutral
尾盘能新高就买点指数,275,2021/1/14 13:43,Positive
有人在拉啊,270,2021/1/14 13:46,Positive
每个交易日，只要券商不好大盘绝对不会好,294,2021/1/14 13:51,Neutral
跳水,199,2021/1/14 14:02,Negative
资源股、公用事业股暴发!,332,2021/1/14 14:31,Positive
商务部：将区块链等信息技术研发和应用纳入国家科技计,434,2021/1/14 14:37,Neutral
见好就收再抛4/5，剩下1/15仓位继续玩！哈哈哈,346,2021/1/14 14:40,Negative
白酒行业中的金种子酒虽然业绩有所亏损，但股价严重偏,297,2021/1/14 14:42,Neutral
大盘麻烦大了，,302,2021/1/14 14:45,Negative
三千一牢牢的站立,259,2021/1/14 14:46,Neutral
收盘标题：险守3100,235,2021/1/14 14:50,Neutral
漂亮的狠,294,2021/1/14 14:52,Negative
大盘已经顶分型了，今天所有的高点都是出局点，逢高减,374,2021/1/15 9:35,Negative
今天很明显，低开高走,325,2021/1/15 9:35,Positive
要碰一次10日线在拉吗,198,2021/1/15 10:00,Positive
要调整了，跑了，，，，，，,271,2021/1/15 10:00,Negative
嘴硬就可以3500到3700？,200,2021/1/15 10:02,Neutral
震荡下行开始，散户们快逃，调整幅度大，散户逃，逃，,196,2021/1/15 10:03,Negative
持股过年的，原来是套出来的,220,2021/1/15 10:05,Negative
呵呵   今日买跌,262,2021/1/15 10:07,Negative
好久没感受到千股跌停的感觉了可否来一次呢？,284,2021/1/15 10:13,Negative
掉头向下补缺，跌到过年,221,2021/1/15 10:14,Negative
一轮大调整开始，震副大，散户们快逃，逃，清醒，小心,212,2021/1/15 10:14,Negative
砸盘的全是中字头的大佬们。,243,2021/1/15 10:15,Negative
这两天不是在天天说利好吗？利好呢？么不是在做掩护都,229,2021/1/15 10:20,Negative
这个操作我感觉见过，暴跌后拉升快红盘，下午狂跌,327,2021/1/15 10:38,Positive
真正低估的股不涨，严重高估的股票涨价十倍，这种市场,252,2021/1/15 10:41,Neutral
大资金出货明天去干京沪高铁,255,2021/1/15 10:46,Neutral
在3050等,285,2021/1/15 10:53,Neutral
我到现在没回本,243,2021/1/15 10:58,Neutral
跌足一星期,283,2021/1/15 11:07,Negative
大跌就大买今年持股过年[想一下],235,2021/1/15 11:08,Positive
我从来不相信什么狗屁调整，那些都是主力的阴谋！对于,547,2021/1/15 11:13,Negative
银行股银行股该发力了。昨日美股银行股发力，把股价拉,387,2021/1/15 11:18,Positive
快速拉升了,275,2021/1/15 11:23,Positive
下午肯定暴跌,361,2021/1/15 11:28,Negative
保住浮盈,330,2021/1/15 11:29,Negative
信心必须从这里启航,220,2021/1/15 13:09,Positive
畜肉，天天在流出,272,2021/1/15 13:13,Negative
远离A股，回头是岸,316,2021/1/15 13:13,Negative
每次过年前必暴跌，庄家套现,290,2021/1/15 13:16,Negative
散户唯一的优势就是有时间了，10年或20年，只输时间不,301,2021/1/15 13:20,Neutral
去补3O51的缺口。,251,2021/1/15 13:26,Negative
逃命去吧,293,2021/1/15 13:28,Negative
不拐由你吗！,282,2021/1/15 13:46,Neutral
场外资金开始休眠了，只靠场内资金炒作了。,288,2021/1/15 13:47,Neutral
落袋时间了还有外资进来看来要大涨了。有赚钱效应了会,404,2021/1/15 13:52,Positive
喋喋不休,234,2021/1/15 13:54,Neutral
